Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
331112.6,Escherichia coli HS,,331112,131567;2;3379134;1224;1236;91347;543;561;562;331112,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli HS,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS,serovar O9,,NOT,MLST.ecoli_achtman_4.46,,,,,,,,,,,,,,,,Good,2007-09-10T00:00:00Z,18676672,,PRJNA13959,SAMN02604037,GCA_000017765.1,,CP000802,TIGR,Complete,,,,,,1,4643538,50.8,1.0,4643538,88,14.0,,4520,99.9,99.2,,99.3,,laboratory scientist at Walter Reed Army Institute of Research,"isolated from a laboratory scientist at Walter Reed Army Institute of Research in 1978 (Levine, 1978)",1978,1978.0,,USA,,,,,Walter Reed Army Institute,,"Human, Homo sapiens",Human,,,,Human,,,,,"Escherichia coli strain HS. This strain (HS; serotype O9) is a human commensal that was originally isolated from a laboratory scientist at Walter Reed Army Institute of Research in 1978 (Levine, 1978). It was obtained from Drs. Kaper and Nataro at the School of Medicine at the University of Maryland. Strain HS colonizes the human gastrointestinal tract in challenge experiments, but no overt signs of disease occur. Thus, this strain represents a genomic baseline for human gastrointestinal tract colonization. It is competent and amenable to genetic manipulation.",2014-12-08T22:11:25.512Z,2015-03-16T03:17:09.594Z
511145.208,Escherichia coli str. K-12 substr. MG1655,,511145,131567;2;3379134;1224;1236;91347;543;561;562;83333;511145,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli K-12;Escherichia coli str. K-12 substr. MG1655,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,K-12,,,NOT,MLST.ecoli_achtman_4.10,,,,,,,,,,,,,ATCC:47076,,,Good,2016-02-02T00:00:00Z,26802429,,PRJNA308372,SAMN04403366,GCF_001544635.1,,CP014225,Weill Cornell Medical College,Complete,Pacific Biosciences,125X,HGAP2 v. 2.1.0,,,1,4659625,50.78,1.0,4659625,88,8.0,,4667,100.0,99.9,1.8,100.0,,stool sample,,1992,1992.0,,USA,,,,North America,USA: Palo Alto,,"Human, Homo sapiens",Human,,,,Human,,,,sample_type:Cultured isolate,Escherichia coli MRE600 sequencing and assembly,2016-03-01T00:51:59.119Z,2016-03-01T00:51:59.119Z
511145.616,Escherichia coli str. K-12 substr. MG1655,,511145,131567;2;3379134;1224;1236;91347;543;561;562;83333;511145,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli K-12;Escherichia coli str. K-12 substr. MG1655,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,K-12,,,NOT,MLST.ecoli_achtman_4.10,,,,,,,,,,,,,,,,Good,2017-12-17T00:00:00Z,,,PRJNA421841,SAMN08158212,GCA_002843685.1,,CP025268,Harvard Medical School,Complete,Illumina HiSeq,69.0x,Velvet v. 2017-06-01,,,1,4643559,50.76,1.0,4643559,88,8.0,,4790,99.8,99.3,,99.8,,,"derived strains, including the mutation to rph which causes pyrimidine starvation in minimal media, were corrected or compensated for",2017-01-15,2017.0,,USA,Massachusetts,,,North America,USA: Boston,,"Human, Homo sapiens",Human,,,,Human,,,,sample_type:cell culture,"C321.deltaA was adapted over ~1,100 generations to fast growth in M9 minimal media supplemented with 1% glucose. In so doing, many off-target mutations leftover from the original recoding efforts were corrected as either direct reversions, or more often compensatory adaptive mutations. Additionally, mutations known to be endemic to all MG1655-derived strains, including the mutation to rph which causes pyrimidine starvation in minimal media, were corrected or compensated for. We present here the genome of a recoded C321 strain with no TAG codons adapted for fast growth in M9 and other defined media.",2018-01-01T06:16:22.817Z,2018-01-01T06:16:22.817Z
562.138733,Escherichia coli HS4,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS4,,,NOT,MLST.ecoli_achtman_4.354,,,,,,,,,,,,,,,,Good,2024-01-16T00:00:00Z,,,PRJNA1059248,SAMN39202292,GCA_035666315.1,,"CP142035,CP142036,CP142037,CP142038,CP142040,CP142039",,,Illumina NovaSeq,188x,Fyle v. V2.9.1,,5.0,6,5541031,50.32401,1.0,5021014,91,22.0,,5627,99.7,98.6,0.1,100.0,,bile,,2017,2017.0,,China,,,,Asia,China: Shanghai,,Homo sapiens,Human,,,,Human,,,,"collected_by:Institute of Antibiotics, Huashan Hospital, Fudan University",,2024-02-01T16:17:41.856Z,2024-02-01T16:17:41.856Z
562.13932,Escherichia coli HS1496,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS1496,,,NOT,MLST.ecoli_achtman_4.131,,,,,,,,,,,,,,,,Good,2024-01-22T00:00:00Z,,,PRJNA1059248,SAMN39202291,GCA_035928085.1,,"CP142382,CP142383,CP142385,CP142384",,,Illumina NovaSeq,198x,Fyle v. V2.9.1,,3.0,4,5625363,50.736603,1.0,5227706,87,22.0,,6008,99.7,98.4,0.1,99.9,,urine,,2017,2017.0,,China,,,,Asia,China: Shanghai,,Homo sapiens,Human,,,,Human,,,,"collected_by:Institute of Antibiotics, Huashan Hospital, Fudan University",,2024-02-12T15:40:37.188Z,2024-02-12T15:40:37.188Z
562.28405,Escherichia coli strain HS13-1,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS13-1,,,NOT,MLST.ecoli_achtman_4.95,,,,,,,,,,,,,,,,Good,2018-02-04T00:00:00Z,,,PRJNA431867,SAMN08409128,GCA_002953435.1,,"CP026491,CP026493,CP026494,CP026492",The Hong Kong Polytechnic University,Complete,MinION; Illumina NextSeq 500,60.0x,Canu v. 1.3,,3.0,4,5554216,50.42204,1.0,5087117,83,7.0,,5897,99.9,98.7,,100.0,,faecal sample,,2017,2017.0,,China,,,,Asia,China:Shenzhen,,"Human, Homo sapiens",Human,,,diarrhea,Human,,,,collected_by:Miaomiao Xie,Rapid resolution of complete sequences of chromosome and plasmids for MDR bacteria using the MinION sequencing platform,2018-05-26T02:10:10.610Z,2018-05-26T02:10:10.610Z
562.30373,Escherichia coli strain HS30-1,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS30-1,,,NOT,MLST.ecoli_achtman_4.3288,,,,,,,,,,,,,,,,Good,2018-06-15T00:00:00Z,,,PRJNA472106,SAMN09227133,GCA_003231115.1,,"CP029492,CP029493",The Hong Kong Polytechnic University,Complete,Illumina; PacBio,50.0x,SPAdes v. 3.5,,1.0,2,4603110,50.89574,1.0,4423666,79,8.0,,4744,100.0,99.1,0.4,99.6,,fecal sample,,2016,2016.0,,China,,,,Asia,China: Shenzhen,,"Human, Homo sapiens",Human,,,Null,Human,,,,collected_by:Kaichao Chen,The Demise of the mcr-1–embedded Composite Transposon Tn6330 Detected by Nanopore Long Reads,2018-07-16T04:44:00.338Z,2018-07-16T04:44:00.338Z
562.45699,Escherichia coli strain BW25113,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,BW25113,,,NOT,MLST.ecoli_achtman_4.10,,,,,,,,,,,,,,,,Good,2019-03-19T00:00:00Z,,,PRJNA525908,SAMN11080426,GCA_004355105.1,,CP037857,University of Colorado Boulder,Complete,Illumina NextSeq,123.5x,breseq v. 0.28.1,,,1,4624857,50.785114,1.0,4624857,87,8.0,,4612,95.72,95.42,,99.67,,,,2017-07-30,2017.0,,USA,,,,North America,USA,,"Human, Homo sapiens",Human,,,,Human,,,,sample_type:clone,laboratory adaptation studying the amplification and divergence of E. coli proA,2019-07-14T15:15:04.478Z,2019-07-14T15:15:04.478Z
562.45839,Escherichia coli strain 2 HS-C,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,2 HS-C,,,NOT,MLST.ecoli_achtman_4.46,,,,,,,,,,,,,,,,Good,2019-03-31T00:00:00Z,,,PRJNA523709,SAMN10986381,GCA_004526255.1,,"CP038180,CP038181,CP038182",University of Bern,Complete,Oxford Nanopore MiniION; Illumina NovaSeq,40.0x,Canu v. 1.7.1; Pilon v. 1.22,,2.0,3,4689713,50.673763,1.0,4541147,87,8.0,,4760,95.24,94.39,,99.78,,,,2018-06,2018.0,,Tanzania,,,,Africa,Tanzania,,"Human, Homo sapiens",Human,,,,Human,,,,sample_type:rectal swab,Escherichia coli and Klebsiella pneumoniae multidrug-resistant colonizing healthy people from Tanzania,2019-07-14T16:14:20.889Z,2019-07-14T16:14:20.889Z
562.50492,Escherichia coli strain MSHS 472,,562,131567;2;3379134;1224;1236;91347;543;561;562,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,MSHS 472,O82:NM,,NOT,MLST.ecoli_achtman_4.10754,,,,,,,,,,,,,,,,Good,2019-07-09T00:00:00Z,,,PRJNA551565,SAMN12158201,GCA_006777065.1,,"CP041302,CP041301",McGill University,Complete,PacBio,138.0x,HGAP v. May-2015; Celera Assembler v.,,1.0,2,4932910,50.60437,1.0,4782773,91,6.0,,5015,95.66,94.58,,99.78,,urine from healthy adult with cystitis,,2006-03-16,2006.0,,Canada,,,,North America,Canada: Montreal,,"Human, Homo sapiens",Human,,,cystitis,Human,,,host_health_state:Healthy with symptomatic cystitis,collected_by:Student health services McGill University,This strain was sequenced as part of a study that investigated the activity of the outer membrane protease OmpT among uropathogenic Escherichia coli clinical isolates.,2019-09-30T16:44:41.305Z,2019-09-30T16:44:41.305Z
