Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"1038927.31","Escherichia coli O104:H4 strain FDAARGOS_348",,1038927,"131567;2;3379134;1224;1236;91347;543;561;562;1038927","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","FDAARGOS_348","O104:H4",,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,"FDA:FDAARGOS_348",,,"Good","2017-06-27T00:00:00Z",,,"PRJNA231221","SAMN06173361","GCA_002209105.2",,"CP022086,CP022085,CP022087","US Food and Drug Administration","Complete","PacBio","18.1565653439553x","SMRT v. 2.3.0, HGAP v. 3.0",,2,3,5442181,50.58,1,5256691,100,8,,5899,99.9,98.2,1.5,100,,"Stool",,"2009",2009,,"USA","Georgia",,,"North America","USA: Georgia",,"Human, Homo sapiens","Human",,,"Bloody diarrhea complicated hemolytic uremic syndrome (HUS)","Human",,,,"collected_by:USAMRIID < CDC-Atlanta","In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","2017-07-23T01:19:19.428Z","2017-07-23T01:19:19.428Z"
"1038927.40","Escherichia coli O104:H4 strain FDAARGOS_349",,1038927,"131567;2;3379134;1224;1236;91347;543;561;562;1038927","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","FDAARGOS_349","O104:H4",,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,"FDA:FDAARGOS_349",,,"Good","2018-03-09T00:00:00Z",,,"PRJNA231221","SAMN06173362","GCA_002983645.1",,"CP027394,CP027395,CP027392,CP027396,CP027393","US Food and Drug Administration","Complete","PacBio; Illumina","13.6271677151539x","SMRT v. 2.3.0, HGAP v. 3.0",,4,5,5501145,50.640114,1,5277316,97,8,,5925,100,99,,100,,"stool",,"2001",2001,,"Germany",,,,"Europe","Germany",,"Human, Homo sapiens","Human","Female","37Y","Hemolytic uremic syndrome","Human",,,,"collected_by:USAMRIID < Bundeswehr Inst. Microbiology","In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","2018-05-26T05:50:28.248Z","2018-05-26T05:50:28.248Z"
"1038927.41","Escherichia coli O104:H4 strain LB226692",,1038927,"131567;2;3379134;1224;1236;91347;543;561;562;1038927","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","LB226692","O104:H4",,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,,,,"Good","2018-04-25T00:00:00Z","29606600",,"PRJNA419526","SAMN08056753","GCA_003072445.1",,"CP024992,CP024993,CP024994","University of Hohenheim","Complete","PacBio","200.0x","HGAP3 algorithm v. 2.3",,2,3,5500653,50.622913,1,5299262,97,22,,5581,99.9,99,2.5,100,,"stool of HUS-patient",,"2011-05-24",2011,,"Germany",,,,"Europe","Germany: Muenster",,"Human, Homo sapiens","Human",,,,"Human",,,,"collected_by:German National Consulting Laboratory for HUS at the Institute of Hygiene, University of Muenster","Study of phage-borne NanS-p esterases.","2018-05-30T17:27:28.566Z","2018-05-30T17:27:28.566Z"
"1038927.45","Escherichia coli O104:H4 strain FWSEC0009",,1038927,"131567;2;3379134;1224;1236;91347;543;561;562;1038927","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","FWSEC0009","O104:H4",,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,,,,"Good","2019-05-01T00:00:00Z",,,"PRJNA287560","SAMN08768110","GCA_005014075.1",,"CP031902,CP031903,CP031904,CP031905","National Microbiology Laboratory","Complete","Illumina MiSeq;Oxford Nanopore MinION","65.55x;110.27x","Unicycler;Canu v. 0.4.4.0;1.7",,3,4,5442997,50.65053,1,5277234,97,8,,5768,95.9,95.42,0.11,99.78,,"Clinical: Human (Homo sapiens)","is from Environmental, animal husbandry, food samples, and medical isolates","2011",2011,,"Germany",,,,"Europe","Germany",,"Human, Homo sapiens","Human",,,,"Human",,,,"collected_by:Laboratory for Foodborne Zoonoses: Public Health Agency of Canada","The food and water safety pilot project is a comprehensive strategy that integrates multidisciplinary components from diverse federal science sources to address two main goals. The first is to enhance food and water safety by developing genomics-based methods for pathogen isolation, detection and characterisation. The second goal is to develop a federally integrated system to manage, store and provide open access to genomic data related to food and water borne pathogens. The model organisms for this study are Shiga-toxin Producing Escherchia coli (STEC) and Salmonella Enteritidis from Environmental, animal husbandry, food samples, and medical isolates.","2019-07-14T19:20:31.213Z","2019-07-14T19:20:31.213Z"
"1038927.86","Escherichia coli O104:H4 rpoS_ATGtoATA",,1038927,"131567;2;3379134;1224;1236;91347;543;561;562;1038927","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","rpoS_ATGtoATA",,,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,,,,"Good","2024-04-16T00:00:00Z","38526342",,"PRJNA1023896","SAMN37677274",,,"CP136552,CP136553,CP136554",,,"PacBio Sequel","30x","PacBio MicrobialAssembly v. SMRT Link v10",,2,3,5442671,50.651287,1,5278563,97,22,,5470,99.8,98.9,0.2,100,,"stool",,"2011-05-11",2011,,"Germany",,,,"Europe","Germany",,"Homo sapiens","Human",,,,"Human",,,,,,"2024-05-12T15:50:55.380Z","2024-05-12T15:50:55.380Z"
"1045010.15","Escherichia coli O157 strain 180-PT54",,1045010,"131567;2;3379134;1224;1236;91347;543;561;562;1045010","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","180-PT54",,,,"MLST.ecoli_achtman_4.11",,,,,,,,,,,,,,,,"Good","2016-05-24T00:00:00Z",,,"PRJNA321984","SAMN05007044","GCF_001650275.1",,"CP015832,CP015833","Public Health England","Complete","Pacific Biosciences","30x","Celera v. 8.1",,1,2,5750190,50.43,1,5509528,100,22,,5958,99.8,99,,100,,"fecal sample",,"2012-10-24",2012,,"United Kingdom",,,,"Europe","United Kingdom",,"Human, Homo sapiens","Human",,,"Diarrhea","Human",,,,"collected_by:Lauren Cowley","A public health investigation into an outbreak of Escherichia coli O157 that involved sequencing of outbreak isolates.","2016-07-05T09:47:13.636Z","2016-07-05T09:47:13.636Z"
"1045010.16","Escherichia coli O157 strain 644-PT8",,1045010,"131567;2;3379134;1224;1236;91347;543;561;562;1045010","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","644-PT8",,,,"MLST.Escherichia_coli_1.11,MLST.Escherichia_coli_2.628",,,,,,,,,,,,,,,,"Good","2016-05-24T00:00:00Z",,,"PRJNA321984","SAMN05007045","GCF_001650295.1",,"CP015831","Public Health England","Complete","MinION; Pacific Biosciences","30x","Canu v. 1.1; Celera Assembler v. 8.1",,,1,5831209,50.52,1,5831209,106,22,,6090,99.9,97.6,3.9,100,,"fecal sample",,"2012-08-30",2012,,"United Kingdom",,,,"Europe","United Kingdom",,"Human, Homo sapiens","Human",,,"Diarrhea","Human",,,,"collected_by:Lauren Cowley","A public health investigation into an outbreak of Escherichia coli O157 that involved sequencing of outbreak isolates.","2016-07-05T09:48:18.250Z","2016-07-05T09:48:18.250Z"
"1045010.21","Escherichia coli O157 strain FDAARGOS_293",,1045010,"131567;2;3379134;1224;1236;91347;543;561;562;1045010","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","FDAARGOS_293",,,,"MLST.ecoli_achtman_4.11",,,,,,,,,,,,,"FDA:FDAARGOS_293",,,"Good","2017-06-27T00:00:00Z",,,"PRJNA231221","SAMN06173306","GCA_002208865.2",,"CP022050,CP022051,CP022052","US Food and Drug Administration","Complete","PacBio","17.6648961609863x","SMRT v. 2.3.0, HGAP v. 3.0",,2,3,5686502,50.48,1,5548610,103,8,,6234,99.8,98.9,0.7,100,,,,"2014-02-26",2014,,"USA","District of Columbia",,,"North America","USA:DC",,"Human, Homo sapiens","Human",,,,"Human",,,,"collected_by:George Washington University","In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally: •Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. •Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and Pac Biosequencing platforms at the Institute for Genome Sciences disclaimer icon at the University of Maryland (UMD-IGS). •Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases. The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.","2017-07-23T01:14:06.936Z","2017-07-23T01:14:06.936Z"
"1048254.4","Escherichia coli O104:H4 str. C227-11",,1048254,"131567;2;3379134;1224;1236;91347;543;561;562;1038927;1048254","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O104;Escherichia coli O104","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","C227-11",,,,"MLST.ecoli_achtman_4.678",,,,,,,,,,,,,"DSM -3043",,,"Good","2015-07-13T00:00:00Z",,,"PRJNA281410","SAMN03856947","GCF_000986765.1",,"CP011331,CP011332,CP011333,CP011334,CP011335,CP011336,CP011337,CP011338","Icahn School of Medicine at Mount Sinai","Complete","PacBio","100.0x","HGAP v. 2.0",,7,8,5446006,50.63,1,5292862,97,8,,5660,100,99,,100,,"stool sample from a 64-year-old woman from Hamburg who presented with bloody diarrhea and did not develop hemolytic uremic syndrome (HUS)",,"2011-05-18",2011,,"Denmark",,,,"Europe","Denmark",,"Human, Homo sapiens","Human",,,,"Human",,,,"isolate:368 shch","To obtain high quality reference assemblies of multiple bacterial genomes and conduct genome-wide analysis of DNA methylation, we sequenced three cultured isolates using a Pacific Biosciences RSII instrument. These long read sequenced isolates include Escherichia coli O104:H4 str. C227-11, Helicobacter pylori J99, and Chromohalobacter salexigens DSM-3043.'","2016-01-17T15:56:39.571Z","2016-01-17T15:56:39.571Z"
"1055537.66","Escherichia coli O121 201805972",,1055537,"131567;2;3379134;1224;1236;91347;543;561;562;1055537","cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O121","Bacteria","Pseudomonadati","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia coli","Complete","201805972","O121",,"EIEC","MLST.ecoli_achtman_4.6",,,,,,,,,,,,,,,,"Good","2023-10-04T00:00:00Z",,,"PRJNA935284","SAMN33389351","GCA_032359195.1",,"CP119441,CP119442",,,"Illunina; PacBio Sequel","300.0x","Unicycler/0.4.8 v. JAN-2022",,1,2,5327614,50.88762,1,5053585,96,22,,5647,99.9,98.2,0.4,99.7,,,,"2018",2018,,"France",,,,"Europe","France",,"Homo sapiens","Human",,,"shigellosis","Human",,,,,,"2023-10-30T04:05:06.337Z","2023-10-30T04:05:06.337Z"
