Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1055537.66,Escherichia coli O121 201805972,,1055537,131567;2;3379134;1224;1236;91347;543;561;562;1055537,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O121,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,201805972,O121,,EIEC,MLST.ecoli_achtman_4.6,,,,,,,,,,,,,,,,Good,2023-10-04T00:00:00Z,,,PRJNA935284,SAMN33389351,GCA_032359195.1,,"CP119441,CP119442",,,Illunina; PacBio Sequel,300.0x,Unicycler/0.4.8 v. JAN-2022,,1.0,2.0,5327614.0,50.88762,1.0,5053585.0,96.0,22.0,,5647.0,99.9,98.2,0.4,99.7,,,,2018,2018.0,,France,,,,Europe,France,,Homo sapiens,Human,,,shigellosis,Human,,,,,,2023-10-30T04:05:06.337Z,2023-10-30T04:05:06.337Z
199310.4,Escherichia coli CFT073,,199310,131567;2;3379134;1224;1236;91347;543;561;562;199310,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli CFT073,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,CFT073,,,UPEC,MLST.ecoli_achtman_4.73,,,,,,,,,,,,,,,,Good,2002-12-10T00:00:00Z,"12471157,2182540",,PRJNA313,SAMN02604094,GCA_000007445.1,,AE014075,"University of Wisconsin-Madison, USA",Complete,,,,,,1.0,5231428.0,50.5,1.0,5231428.0,89.0,14.0,,5142.0,99.9,97.9,1.1,100.0,,,isolated at the University of Maryland Hospital,,,,USA,Maryland,,,North America,USA: Maryland,,"Human, Homo sapiens",Human,,,,Human,,,,,"Escherichia coli strain CFT073. This strain (CFT073; O6:K2:H1) is uropathogenic E. coli (UPEC) one of the most common causes of non-hospital-acquired urinary tract infections. There are numerous important differences between EHEC and UPEC, namely the loss of specific virulence factors such as the type III secretion system and plasmid- and phage-associated PAIs. UPEC has gained fimbrial operons, including genes for production of Pap pili, as well as other virulence factors that allow it to colonize the urinary tract.",2014-12-08T22:11:23.529Z,2015-03-16T03:17:09.594Z
2048778.3,Escherichia coli O178:H19 strain 2012C-4431,,2048778,131567;2;3379134;1224;1236;91347;543;561;562;2048778,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O178,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,2012C-4431,O178:H19,,STEC,MLST.Escherichia_coli_2.537,,,,,,,,,,,,,,,,Good,2017-11-02T00:00:00Z,,,PRJNA218110,SAMN04851096,GCA_002741595.1,,"CP024289,CP024290,CP024291,CP024292",CDC,Complete,PacBio,430.0x,HGAP v. 3,,3.0,4.0,5307783.0,50.76,1.0,5074559.0,100.0,22.0,,5316.0,99.8,98.7,,100.0,,stool,,2012-10-18,2012.0,,,,,,,,,"Human, Homo sapiens",Human,,,,Human,,,,collected_by:EDLB-CDC,PulseNet STEC genome reference library,2017-11-24T17:08:58.323Z,2017-11-24T17:08:58.323Z
2592065.4,Escherichia coli O1:H42 strain CLSC36,,2592065,131567;2;3379134;1224;1236;91347;543;561;562;2592065,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O1,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,CLSC36,O1:H42,,UPEC,MLST.ecoli_achtman_4.648,,,,,,,,,,,,,,,,Good,2019-07-09T00:00:00Z,,,PRJNA551561,SAMN12158196,GCA_006777045.1,,"CP041300,CP041299",McGill University,Complete,PacBio,138.0x,HGAP v. May-2015; Celera Assembler v.,,1.0,2.0,5278774.0,50.42186,1.0,5083072.0,88.0,8.0,,5293.0,95.78,95.06,0.22,99.78,,urine from healthy adult with cystitis,,2005-09-26,2005.0,,Canada,,,,North America,Canada: Montreal,,"Human, Homo sapiens",Human,,,cystitis,Human,,,,collected_by:Student health services McGill University,This strain was sequenced as part of a study that investigated the activity of the outer membrane protease OmpT among uropathogenic Escherichia coli clinical isolates. Healthy adult with cystitis,2019-09-30T16:44:45.900Z,2019-09-30T16:44:45.900Z
2697517.3,Escherichia coli O84:H7 strain Trh52,,2697517,131567;2;3379134;1224;1236;91347;543;561;562;2697517,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O84,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,Trh52,O84:H7,,EPEC/ExPEC,MLST.ecoli_achtman_4.28,,,,,,,,,,,,genotype:ST28,,,,Good,2021-02-03T00:00:00Z,,,PRJNA593384,SAMN13782172,GCA_016803935.1,,"CP047600,CP047601",Norwegian University of Life Sciences,Complete,Oxford Nanopore MiniION; Illumina MiSeq,27.7x,Unicycler v. 0.4.7.0,,1.0,2.0,4926859.0,50.58391,1.0,4768611.0,87.0,8.0,,4863.0,95.78,94.45,,99.78,,feces,,2002,2002.0,,Norway,,,,Europe,Norway: Trondelag,,Homo sapiens,Human,,<5,Diarrhea,Human,,,,"collected_by:Department of Medical Microbiology, St. Olavs Hospital",Sequencing of enteropathogenic Escherichia coli clinical isolates,2021-02-27T17:36:49.399Z,2021-02-27T17:36:49.399Z
2848143.3,Escherichia coli O85:H1 strain 03-3638,,2848143,131567;2;3379134;1224;1236;91347;543;561;562;2848143,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O85,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,03-3638,O85:H1,,STEC,MLST.ecoli_achtman_4.706,,,,,,,,,,,,,,,,Good,2021-06-22T00:00:00Z,,,PRJNA735700,SAMN19011648,GCA_018986775.1,,"CP076714,CP076715,CP076716,CP076717",Health Canada,Complete,Illumina MiSeq/NextSeq and Oxford,61x (Illumina)/x,Unicycler (normal mode) using PE Illumina,,3.0,4.0,5163097.0,50.494915,1.0,4932527.0,86.0,22.0,,5184.0,95.78,94.33,,99.78,,,,2003,2003.0,,Canada,,,,North America,Canada,,Homo sapiens,Human,,,,Human,,,,collected_by:Health Canada - Bureau of Microbial Hazards,Characterization of shiga toxin (stx) genes in E. coli including novel stx variants/subtypes,2021-06-26T10:52:44.740Z,2021-06-26T10:52:44.740Z
331112.6,Escherichia coli HS,,331112,131567;2;3379134;1224;1236;91347;543;561;562;331112,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli HS,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,HS,serovar O9,,Nonpathogenic,MLST.ecoli_achtman_4.46,,,,,,,,,,,,,,,,Good,2007-09-10T00:00:00Z,18676672,,PRJNA13959,SAMN02604037,GCA_000017765.1,,CP000802,TIGR,Complete,,,,,,1.0,4643538.0,50.8,1.0,4643538.0,88.0,14.0,,4520.0,99.9,99.2,,99.3,,laboratory scientist at Walter Reed Army Institute of Research,"isolated from a laboratory scientist at Walter Reed Army Institute of Research in 1978 (Levine, 1978)",1978,1978.0,,USA,,,,,Walter Reed Army Institute,,"Human, Homo sapiens",Human,,,,Human,,,,,"Escherichia coli strain HS. This strain (HS; serotype O9) is a human commensal that was originally isolated from a laboratory scientist at Walter Reed Army Institute of Research in 1978 (Levine, 1978). It was obtained from Drs. Kaper and Nataro at the School of Medicine at the University of Maryland. Strain HS colonizes the human gastrointestinal tract in challenge experiments, but no overt signs of disease occur. Thus, this strain represents a genomic baseline for human gastrointestinal tract colonization. It is competent and amenable to genetic manipulation.",2014-12-08T22:11:25.512Z,2015-03-16T03:17:09.594Z
362663.9,Escherichia coli 536,,362663,131567;2;3379134;1224;1236;91347;543;561;562;362663,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli 536,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,536,,,UPEC,MLST.ecoli_achtman_4.127,,,,,,,,,,,,,,,,Good,2006-07-13T00:00:00Z,16879640,,PRJNA16235,SAMN02604181,GCA_000013305.1,,CP000247,University of Goettingen,Complete,,,,,,1.0,4938920.0,50.5,1.0,4938920.0,81.0,14.0,,4773.0,99.8,97.9,1.1,99.6,,patient with acute pyelonephritis (inflammation of the kidney and pelvis),isolated from a patient with acute pyelonephritis (inflammation of the kidney and pelvis),,,,,,,,,,,"Human, Homo sapiens",Human,,,acute pyelonephritis (inflammation of the kidney and pelvis),Human,,,,,"Escherichia coli strain 536. This strain (536; O6:K15:H31) is a uropathogenic Escherichia coli (UPEC) that was isolated from a patient with acute pyelonephritis (inflammation of the kidney and pelvis). It is a model organism of extraintestinal E. coli, which are among the most common causes of non-hospital-acquired urinary tract infections (UTIs) and UPEC strains are responsible for 40% of nosocomial UTIs. Comparative genomics with other E. coli, especially UPEC strains such as CFT073 will reveal important pathogenicity traits. Studies on strain 536 have revealed at least 5 pathogenicity islands. The project is a collaboration with the group of Prof. Hacker, Institute for Molecular Infection Biology, University of Wurzburg.",2014-12-08T22:11:20.299Z,2015-03-16T03:17:09.594Z
364106.8,Escherichia coli UTI89,,364106,131567;2;3379134;1224;1236;91347;543;561;562;364106,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli UTI89,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,UTI89,,,UPEC,MLST.ecoli_achtman_4.95,,,,,,,,,,,,,,,,Good,2006-04-05T00:00:00Z,16585510,,PRJNA16259,SAMN00000110,GCA_000013265.1,,"CP000243,CP000244",Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,Complete,,,,,1.0,2.0,5179971.0,50.6,1.0,5065741.0,89.0,14.0,,5040.0,99.8,99.1,,100.0,,woman with uncomplicated cystitis (bladder inflammation) that has been demonstrated to cause cystitis,isolated from a woman with uncomplicated cystitis (bladder inflammation) that has been demonstrated to cause cystitis in a murine urinary tract infection model,,,,,,,,,,,"Human, Homo sapiens",Human,,,,Human,,,,,"Escherichia coli strain UTI89. This strain (UTI89) is a uropathogenic strain isolated from a woman with uncomplicated cystitis (bladder inflammation) that has been demonstrated to cause cystitis in a murine urinary tract infection model.The genome of UTI89 showed 4 pathogenicity islands. A plasmid was found that was similar to the F plasmid but which also contained virulence genes. Comparison of a set of orthologs from this organism with other E. coli strains showed positive selection on some genes, including those for iron acquisition. Comparison with additional sequences (found in Accession Numbers DQ389000:DQ389068 and DQ440980:DQ441250) of a subset of genes from a number of isolates from patients with UTI infections and isolates from healthy individuals showed positive selection of fepE and amiA genes and some weakly positive selection for ompC.",2014-12-08T22:11:36.454Z,2015-03-16T03:17:09.594Z
386585.154,Escherichia coli O157:H7 str. Sakai,,386585,131567;2;3379134;1224;1236;91347;543;561;562;83334;386585,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli O157;Escherichia coli O157,Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Complete,Sakai,E. coli O157:H7,,"EHEC, STEC",MLST.ecoli_achtman_4.11,,,,,,,,,,,,,ATCC:BAA-460,,Reference,Good,2018-06-07T00:00:00Z,"10734605,11108008,11111050,11258796",,PRJNA226,SAMN01911278,GCA_000008865.2,,"BA000007,AB011548,AB011549",,,,,,,2.0,3.0,5594605.0,50.484154,1.0,5498578.0,104.0,22.0,,5725.0,99.9,99.6,,100.0,,Human intestinal microflora,,1996,1996.0,,Japan,,,,Asia,"Japan: Sakai City, Osaka prefecture",,Homo sapiens,Human,,,"Hemorrhagic colitis, HUS",Human,,,host_description:typical patient during the Sakai outbreak,"collected_by:M Yoh, T Honda",,2022-11-30T21:01:14.176Z,2022-11-30T21:01:14.176Z
